,P/E Ratio,Beta,Market Cap,EPS Growth,ROE,Dividend Yield,Current Ratio,Quick Ratio,Insider Ownership
PH,28.573982,1.431,80260489216.0,0.104,0.25379,0.0105,0.93,0.501,0.00476
PAYX,28.47436,0.993,47939219456.0,0.082,0.46348998,0.0294,1.366,0.589,0.10764
PAYC,20.585247,1.176,9777292288.0,0.081,0.33328,0.0088,1.126,0.145,0.12283
PYPL,18.63107,1.438,78474051584.0,0.174,0.22034,,1.242,0.291,0.00213
PNR,23.939394,1.191,15689210880.0,0.204,0.20722,0.0097,1.645,0.888,0.00622
PEP,24.808695,0.541,235127717888.0,0.121,0.51261,0.0317,0.825,0.597,0.00149
PFE,,0.617,166714310656.0,-0.982,-0.02737,0.0571,0.863,0.506,0.00046999997
PCG,17.162394,1.017,52513214464.0,0.263,0.09972,0.002,0.903,0.725,0.0273
PM,21.378761,0.578,187804286976.0,0.529,,0.044699997,0.938,0.443,0.00155
PSX,11.146655,1.322,54401413120.0,-0.359,0.16921,0.0354,1.145,0.73,0.00401
PNW,16.656826,0.516,10256890880.0,0.872,0.10266,0.039,0.658,0.279,0.00166
PNC,15.621123,1.128,74077356032.0,0.008,0.10338,0.0343,,,0.00364
POOL,30.567953,1.001,13940030464.0,-0.156,0.31962,0.013200001,2.484,0.84,0.029760001
PPG,20.737705,1.25,29512450048.0,0.087,0.18872999,0.0208,1.49,0.966,0.00201
PPL,28.725662,0.835,23948109824.0,0.708,0.059949998,0.0317,1.113,0.668,0.00086000003
PFG,16.275665,1.192,19825905664.0,-0.057,0.118190005,0.0336,1.528,0.502,0.0103400005
PG,28.892204,0.407,409366495232.0,-0.071,0.30677,0.0231,0.735,0.464,0.0005
PGR,22.176218,0.353,151862263808.0,3.351,0.34451,0.0015,0.315,0.227,0.00279
PLD,41.54636,1.083,116174053376.0,-0.293,0.052020002,0.0306,0.695,0.338,0.0028900001
PRU,15.499362,1.286,43325521920.0,1.377,0.09594,0.0428,0.749,0.66,0.00158
PEG,26.29091,0.623,43220533248.0,-0.263,0.10694,0.0277,0.646,0.319,0.0011100001
PTC,71.79591,1.177,21131745280.0,0.118,0.10524999,,0.696,0.588,0.060560003
PSA,33.900658,0.67,63307509760.0,-0.113,0.20954001,0.0332,0.981,0.928,0.10205
PHM,10.83728,1.627,29439354880.0,0.192,0.26968,0.0056,5.964,0.576,0.0069
QRVO,,1.457,9700515840.0,,-0.00721,,1.955,1.251,0.00477
PWR,54.988663,1.009,42856824832.0,0.125,0.13081001,0.0011999999,1.296,1.162,0.010679999
QCOM,21.601023,1.284,188176875520.0,0.174,0.38924,0.0201,2.394,1.639,0.00090000004
DGX,20.674324,0.889,17030388736.0,-0.01,0.13588999,0.0196,1.002,0.79,0.00433
RL,17.887066,1.502,11477990400.0,0.332,0.28403,0.0178,2.191,1.428,0.036229998
RJF,13.998874,1.03,25600774144.0,0.351,0.17999001,0.0145000005,2.145,2.131,0.09919
RTX,68.691864,0.544,157167861760.0,-0.911,0.03648,0.021300001,0.993,0.602,0.00082
O,57.06481,0.992,53671591936.0,,0.02417,0.0513,1.361,1.048,0.00115
REG,34.41827,1.218,13072047104.0,0.064,0.06131,0.0374,0.971,0.749,0.00782
REGN,30.307837,0.122,126222385152.0,0.46,0.16551,,5.439,4.425,0.015310001
RF,12.983147,1.188,21148538880.0,,0.103360005,0.0433,,,0.0027200002
RSG,33.790268,0.707,63250153472.0,0.201,0.17778999,0.0115,0.587,0.537,0.00123
RMD,35.34488,0.691,35989524480.0,0.269,0.22703,0.0087,2.589,1.181,0.00797
RVTY,76.80625,1.046,15156883456.0,0.58,0.02507,0.0023,2.272,1.836,0.00275
ROK,29.761093,1.363,29682968576.0,-0.414,0.25676,0.0191,1.035,0.602,0.00219
ROL,52.789474,0.697,24288346112.0,0.215,0.35711,0.012,0.778,0.577,0.42556998
ROP,41.675877,1.022,59821326336.0,-0.081,0.082679994,0.0054,0.531,0.414,0.00428
ROST,24.88871,1.092,51194191872.0,0.205,0.43236,0.0095,1.558,0.995,0.02104
RCL,18.980371,2.621,44803952640.0,0.825,0.5165,0.0092,0.191,0.079,0.07873
SPGI,49.731243,1.177,163908698112.0,1.019,0.09255,0.0069999998,1.026,0.863,0.00183
CRM,46.480835,1.297,255060787200.0,0.148,0.09734,0.006,1.041,0.858,0.026400002
SBAC,50.5211,0.664,25736318976.0,-0.193,,0.0164,0.175,0.134,0.00832
SLB,13.859477,1.528,60215414784.0,0.069,0.21972999,0.025899999,1.492,1.016,0.00196
STX,66.29114,1.058,22046722048.0,,,0.026700001,1.075,0.612,0.00504
SRE,17.773504,0.759,52665081856.0,0.179,0.1042,0.0298,0.459,0.247,0.00037999998
NOW,169.50452,0.987,192962101248.0,-0.752,0.147,,1.118,0.966,0.0019
SHW,38.62449,1.168,95484698624.0,0.14,0.68071,0.0076,0.81,0.443,0.078590006
SPG,21.135786,1.769,62437433344.0,0.016,0.8296,0.049200002,0.389,0.388,0.00952
SWKS,20.198347,1.204,15613836288.0,-0.385,0.12777,0.0286,5.754,3.333,0.00348
SJM,16.771187,0.232,12634648576.0,-0.026,0.10090999,0.0364,0.553,0.206,0.02865
SW,,1.044,24621150208.0,-0.505,0.10278,0.040799998,2.301,1.726,0.0042
SNA,14.70353,0.974,14919214080.0,0.037,0.20966999,0.026300002,4.061,2.89,0.020669999
SOLV,29.893162,,12081134592.0,-0.726,0.14497,,1.308,0.861,0.00056
SO,21.408113,0.509,98182922240.0,0.434,0.1268,0.0321,0.914,0.451,0.0016
LUV,223.38463,1.162,17399519232.0,-0.463,0.0073400005,0.0248,0.903,0.804,0.0034599998
SWK,,1.236,16462836736.0,,-0.0297,0.0307,1.27,0.343,0.0026
SBUX,26.904764,0.96,108843859968.0,-0.061,,0.023699999,0.89,0.593,0.02039
STT,16.328413,1.495,26427869184.0,-0.009,0.07377,0.0344,,,0.00403
STLD,9.563448,1.327,18490130432.0,-0.435,0.22783001,0.0154,2.349,1.138,0.06617
STE,42.01773,0.838,23370186752.0,0.181,0.08967,0.0095,2.326,1.308,0.0029499999
SYK,40.67001,0.919,139019976704.0,0.109,0.18576,0.0088,1.681,0.806,0.053829998
